bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,nearest_water_distance
1,AeugstamAlbis,1981,250.4424778761,14.1847551742,442.0,108788,8.171081690497545
2,AffolternamAlbis,12303,1161.7563739377,28.7003169959,6920.0,72583,9.58816641932857
3,Bonstetten,5572,749.932705249,16.5649676956,1014.0,91002,7.492275448269067
4,HausenamAlbis,3751,275.8088235294,16.0223940283,1021.0,91766,8.50207817231833
5,Hedingen,3778,578.5604900459,16.4107993647,1478.0,94456,9.170567803292284
6,KappelamAlbis,1221,154.1666666667,17.5266175266,319.0,102670,10.370049834735209
7,Knonau,2378,367.542503864,18.2926829268,566.0,84568,12.960528250442172
8,Maschwanden,645,137.526652452,12.8682170543,175.0,72226,13.990594537998229
9,Mettmenstetten,5200,399.07904835,14.7692307692,1680.0,93140,11.283933907826702
10,Obfelden,5721,758.7533156499,21.4647788848,1252.0,78384,11.802961949777632
11,Ottenbach,2588,515.5378486056,13.1375579598,683.0,87757,12.940999254089276
12,Rifferswil,1129,173.425499232,10.71744907,250.0,92269,9.923847658531049
13,Stallikon,3755,312.3960066556,22.2902796272,775.0,99185,5.8484329552018695
14,WettswilamAlbis,5240,1389.9204244032,17.1183206107,1302.0,121965,7.495956683893413
21,Adlikon,698,106.0790273556,10.6017191977,149.0,75596,30.6087507094852
22,Benken(ZH),845,149.2932862191,12.7810650888,249.0,82506,38.01629295485888
23,BergamIrchel,577,82.3109843081,8.8388214905,137.0,110218,28.20353723421073
24,BuchamIrchel,979,95.8863858962,7.2522982635,200.0,85199,26.019544439346795
25,Dachsen,1916,709.6296296296,13.3089770355,455.0,81505,38.87916447067191
26,Dorf,658,118.345323741,9.8784194529,129.0,83258,29.104598445527294
27,Feuerthalen,3614,1457.2580645161,22.4958494743,1165.0,76356,42.049444667791605
28,Flaach,1420,139.6263520157,15.4225352113,809.0,74391,28.965838836780215
29,Flurlingen,1477,612.8630705394,14.2180094787,,92689,40.9446584067268
30,Andelfingen,2247,333.3827893175,13.3511348465,1551.0,88960,31.958957617544108
31,Henggart,2234,737.2937293729,9.0420769919,631.0,80276,28.669948748445396
32,Humlikon,485,131.7934782609,8.2474226804,149.0,85112,30.6087507094852
33,Kleinandelfingen,2074,201.5549076774,12.1986499518,1083.0,76788,32.61525856023369
34,Laufen-Uhwiesen,1761,280.4140127389,13.7989778535,472.0,97686,39.59568915012999
35,Marthalen,1918,135.7395612173,11.3660062565,1164.0,77589,34.89242715910968
37,Ossingen,1668,127.4255156608,11.7505995204,426.0,73675,34.891925008802254
38,Rheinau,1316,147.3684210526,19.6808510638,694.0,72743,36.51778027931675
39,ThalheimanderThur,938,145.652173913,9.5948827292,256.0,78231,32.384474221276534
40,Trüllikon,1061,110.9832635983,8.1998114986,309.0,75153,30.6087507094852
41,Truttikon,463,104.9886621315,4.9676025918,117.0,73260,35.65276828012904
43,Volken,380,118.75,9.4736842105,103.0,87288,29.01728712296876
51,Bachenbülach,4180,969.837587007,24.7846889952,1848.0,80529,30.6087507094852
52,Bassersdorf,11824,1309.4130675526,24.949255751,4597.0,79477,14.9371425382265
53,Bülach,21372,1328.2784338098,28.0320044919,10973.0,78194,30.6087507094852
54,Dietlikon,7847,1846.3529411765,25.7678093539,5808.0,82156,12.694334745117535
55,Eglisau,5339,589.293598234,24.1430979584,1536.0,87906,28.875086394050832
56,Embrach,9421,741.811023622,28.0437320879,3591.0,73330,20.81810793700701
57,Freienstein-Teufen,2389,284.4047619048,14.7760569276,691.0,81071,23.860397535368172
58,Glattfelden,5217,424.1463414634,24.5351734713,1104.0,74507,27.25657338346966
59,Hochfelden,1982,321.2317666126,13.7739656912,391.0,83569,23.2019265052428
60,Höri,2872,599.5824634656,33.8788300836,1266.0,66111,30.6087507094852
61,Hüntwangen,1057,215.2749490835,11.6367076632,351.0,85936,30.6087507094852
62,Kloten,20130,1044.6289569279,33.4376552409,37403.0,70228,15.073401187019105
63,Lufingen,2417,466.6023166023,19.1146048821,407.0,94684,19.33395396293259
64,Nürensdorf,5602,557.96812749,16.8154230632,1031.0,99047,30.6087507094852
65,Oberembrach,1121,109.2592592593,14.183764496,226.0,82404,19.378768115213468
66,Opfikon,21014,3759.2128801431,44.9129151994,19226.0,71979,12.854067913616872
67,Rafz,4661,436.4232209738,22.2484445398,1363.0,77517,32.948141708253345
